summary_llmanswer,ground_truth,question,llm_answer
C,C,"a security team is implementing various security controls across the organization . after considering several configurations and applications , a final agreed-on set of security controls is put into place ; however , not all risks are mitigated by the controls . of the following , which is the next best step ? a . continue applying controls until all risk is eliminated . b . ignore any remaining risk as “ best effort controlled. ” c. ensure that any remaining risk is residual or low and accept the risk . d. remove all controls .","the correct answer is c. remember at the beginning of this chapter when i said the process of elimination may be your best bet in some cases ? well , even if you aren ’ t well-versed in risk management and security control efforts , you could narrow this down to the correct answer . it is impossible to remove all risk from any system and still have it usable . i ’ m certain there are exceptions to this rule ( maybe super-secret machines in underground vaults buried deep within the earth , running on geothermal-powered batteries , without any network access at all and controlled by a single operator who hasn ’ t seen daylight in many years ) , but in general the goal of security teams has always been to reduce risk to an acceptable level ."
A,A,a certified ethical hacker ( ceh ) follows a specific methodology for testing a system . which step comes after footprinting in the ceh methodology ? a. scanning b. enumeration c. reconnaissance d. application attack,"the correct answer is a. ceh methodology is laid out this way : reconnaissance ( footprinting ) , scanning and enumeration , gaining access , escalating privileges , maintaining access , and covering tracks . while you may be groaning about scanning and enumeration both appearing as answers , they ’ re placed here in this way on purpose . this exam is not only testing your rote memorization of the methodology but also how the methodology actually works . remember , after scoping out the recon on your target , your next step is to scan it . after all , you have to know what targets are there first before enumerating information about them ."
B,B,your organization is planning for the future and is identifying the systems and processes critical for their continued operation . which of the following best describes this effort ? a. bcp b. bia c. drp d. ale,"the correct answer is b . a business impact analysis ( bia ) best matches this description . in a bia , the organization looks at all the systems and processes in use and determines which ones are absolutely critical to continued operation . additionally , the assessor ( the person or company conducting the analysis ) will look at all the existing security architecture and make an evaluation on the likelihood of any system or resource being compromised . part of this is assigning values to systems and services , determining the maximum tolerable downtime ( mtd ) for any , and identifying any overlooked vulnerabilities ."
A,A,"which incident response ( ir ) phase is responsible for setting rules , identifying the workforce and roles , and creating backup and test plans for the organization ? a . preparation b . identification c. containment d. recovery","the correct answer is a . so even if you weren ’ t aware of incident response phases , this one should ’ ve been a rather easy guess . in the preparation phase , your ir ( incident response ) team should be preparing for an incident . preparation includes lots of things—some of which are mentioned here . but virtually anything you can think of that does not involve actions taken during the incident belongs here . training , exercises , and policies are all examples . as an aside , ir phases can be different depending on whom you ask and what the moon phase is , but generally ir is broken down into six phases : preparation , identification , containment , eradication , recovery , and lessons learned . preparation we already covered . identification refers to the steps taken to verify it ’ s actually an incident , and all the information surrounding that—source , destination ( s ) , exploit used , malware used , and so on . containment is the step used to cordon off the infected system ( s ) and prevent any further spread of infection or attack . eradication refers to steps taken to remove the malware ( or other attack-related residuals , such as backdoors ) . recovery involves the steps taken to rebuild and restore the system ( s ) and network to pre-attack status ( with better security , i might add ) . finally , lessons learned is exactly what it sounds like , and it should feed right back into your organization ’ s preparation phase ."
B,B,"you ’ ve been hired as part of a pen test team . during the brief , you learn the client wants the pen test attack to simulate a normal user who finds ways to elevate privileges and create attacks . which test type does the client want ? a . white box b . gray box c. black box d. hybrid","the correct answer is b . a gray-box test is designed to replicate an inside attacker . otherwise known as the partial knowledge attack ( don ’ t forget this term ) , the idea is to simulate a user on the inside who might know a little about the network , directory structure , and other resources in your enterprise . you ’ ll probably find this one to be the most enlightening attack in out-briefing your clients in the real world—it ’ s amazing what you can get to when you ’ re a trusted , inside user . as an aside , you ’ ll often find in the real world that gray-box testing can also refer to a test where any inside information is given to a pen tester—you don ’ t necessarily need to be a fully knowledgeable inside user . in other words , if you have usable information handed to you about your client , you ’ re performing gray-box testing ."
A,A,which of the following is defined as ensuring the enforcement of organizational security policy does not rely on voluntary user compliance by assigning sensitivity labels on information and comparing this to the level of security a user is operating at ? a . mandatory access control b . authorized access control c. role-based access control d. discretionary access control,"the correct answer is a . access control is defined as the selective restraint of access to a resource , and there are several overall mechanisms to accomplish this goal . mandatory access control ( mac ) is one type that constrains the ability of a subject to access or perform an operation on an object by assigning and comparing “ sensitivity labels. ” suppose a person ( or a process ) attempts to access or edit a file . with mac , a label is placed on the file indicating its security level . if the entity attempting to access it does not have that level , or higher , then access is denied . with mandatory access control , security is centrally controlled by a security policy administrator , and users do not have the ability to override security settings . this should not be confused with role-based access control ( rbac ) systems , which may actually use mac to get the job done . the difference is in whether the information itself has a labeled description or whether the person accessing it has their own label . for example , in a classified area , the information classified as top secret will have a label on it identifying it as such , while you , as an auditor , will have your own clearance and need-to-know label allowing you to access certain information . mac is a property of an object ; rbac is a property of someone accessing an object ."
C,C,"which of the following statements is true regarding the tcp three-way handshake ? a . the recipient sets the initial sequence number in the second step . b . the sender sets the initial sequence number in the third step . c. when accepting the communications request , the recipient responds with an acknowledgement and a randomly generated sequence number in the second step . d. when accepting the communications request , the recipient responds with an acknowledgement and a randomly generated sequence number in the third step .","the correct answer is c. the three-way handshake will definitely show up on your exam , and in much trickier wording than this . it ’ s easy enough to memorize “ syn , syn/ack , ack , ” but you ’ ll need more than that for the exam . in step 1 , the host sends a segment to the server , indicating it wants to open a communications session . inside this segment , the host turns on the syn flag and sets an initial sequence number ( any random 32-bit number ) . when the recipient gets the segment , it crafts a segment in response to let the host know it ’ s open and ready for the communications session . it does this by turning on the syn and ack flags , acknowledging the initial sequence number by incrementing it , and adding its own unique sequence number . then , when the host gets this response back , it sends one more segment before the comm channel opens . in this segment , it sets the ack flag and acknowledges the other ’ s sequence number by incrementing it . for example , suppose host a is trying to open a channel with server b . in this example , host a likes the sequence number 2000 , while server b likes 5000 . the first segment would look like this : syn=1 , ack=0 , isn=2000 . the response segment would look like this : syn=1 , ack=1 , isn=5000 , ack no=2001 . the third and final segment would appear this way : syn=0 , ack=1 , seq no=2001 , ack no=5001 ."
D,D,"your network contains certain servers that typically fail once every five years . the total cost of one of these servers is $ 1000 . server technicians are paid $ 40 per hour , and a typical replacement requires two hours . ten employees , earning an average of $ 20 per hour , rely on these servers , and even one of them going down puts the whole group in a wait state until it ’ s brought back up . which of the following represents the aro for a server ? a . $ 296 b . $ 1480 c. $ 1000 d. 0.20","the correct answer is d. when performing business impact analysis ( or any other value analysis for that matter ) , the annualized loss expectancy ( ale ) is an important measurement for every asset . to compute the ale , multiply the annualized rate of occurrence ( aro ) by the single loss expectancy ( sle ) . the aro is the frequency at which a failure occurs on an annual basis . in this example , servers fail once every five years , so the aro would be 1 failure / 5 years = 20 percent ."
A,A,"an ethical hacker is given no prior knowledge of the network and has a specific framework in which to work . the agreement specifies boundaries , nondisclosure agreements , and a completion date definition . which of the following statements is true ? a . a white hat is attempting a black-box test . b . a white hat is attempting a white-box test . c. a black hat is attempting a black-box test . d. a black hat is attempting a gray-box test .","the correct answer is a. i love these types of questions . not only is this a two-for-one question , but it involves identical but confusing descriptors , causing all sorts of havoc . the answer to attacking such questions—and you will see them , by the way—is to take each section one at a time . start with what kind of hacker he is . he ’ s hired under a specific agreement , with full knowledge and consent of the target , thus making him a white hat . that eliminates c and d right off the bat . second , to address what kind of test he ’ s performing , simply look at what he knows about the system . in this instance , he has no prior knowledge at all ( apart from the agreement ) , thus making it a black-box test ."
A,A,which of the following is a detective control ? a . audit trail b. conops c. procedure d. smartcard authentication e. process,"the correct answer is a . a detective control is an effort used to identify problems , errors , or ( in the case of post-attack discovery ) cause or evidence of an exploited vulnerability—and an audit log or trail is a perfect example . ideally , detective controls should be in place and working such that errors can be corrected as quickly as possible . many compliance laws and standards ( the sarbanes-oxley act of 2002 is one example ) mandate the use of detective controls ."
